OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,SiteEnergyUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,BuildingAge,TotalUseTypeNumber,GFABuildingRate,GFAParkingRate,GFAPerBuilding,GFAPerFloor
233,2015,Nonresidential COS,Other,3,LAKE UNION,47.62759406,-122.3366092,1.0,1.0,58000,Museum,7338511.0,221.62,3.55,115,1,1.0,0.0,58000.0,58000.0
234,2015,Nonresidential COS,Non-Refrigerated Warehouse,7,MAGNOLIA / QUEEN ANNE,47.62651741,-122.340841,1.0,2.0,50292,Non-Refrigerated Warehouse,715446.0,4.99,0.04,89,4,1.0,0.0,50292.0,25146.0
235,2015,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,47.62754003,-122.3405732,1.0,7.0,207656,Hotel,10735331.0,314.26,1.4,17,1,0.73831,0.26169,207656.0,29665.143
237,2015,SPS-District K-12,K-12 School,6,BALLARD,47.68367156,-122.3729249,1.0,2.0,67235,K-12 School,2364351.0,44.06,0.54,16,1,1.0,0.0,67235.0,33617.5
238,2015,Nonresidential COS,Small- and Mid-Sized Office,5,NORTHWEST,47.69975953,-122.340249,1.0,2.0,85017,Office,9146727.0,166.73,1.61,58,5,1.0,0.0,85017.0,42508.5
239,2015,SPS-District K-12,K-12 School,1,SOUTHWEST,47.54026729,-122.3884963,1.0,3.0,58118,K-12 School,1362993.0,17.86,0.22,24,1,1.0,0.0,58118.0,19372.667
241,2015,NonResidential,Hotel,5,NORTHWEST,47.70923419,-122.3323693,1.0,4.0,64893,Hotel,6056481.0,206.3,3.01,47,1,1.0,0.0,64893.0,16223.25
242,2015,SPS-District K-12,K-12 School,5,NORTH,47.69820046,-122.321085,1.0,2.0,52792,K-12 School,1227290.0,8.56,0.06,26,1,1.0,0.0,52792.0,26396.0
243,2015,SPS-District K-12,K-12 School,2,GREATER DUWAMISH,47.53836703,-122.2964274,1.0,1.0,70762,K-12 School,2933003.0,138.96,1.94,90,1,1.0,0.0,70762.0,70762.0
244,2015,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.601058,-122.335182,1.0,3.0,56456,Office,1527917.0,26.55,0.38,115,3,1.0,0.0,56456.0,18818.667
245,2015,NonResidential,Other,2,GREATER DUWAMISH,47.59435403,-122.3301787,1.0,6.0,1585960,Other - Entertainment/Public Assembly,59991984.0,834.11,0.39,16,2,0.79339,0.20661,1585960.0,264326.667
247,2015,Nonresidential COS,"Distribution Center
",2,GREATER DUWAMISH,47.57125847,-122.331498,1.0,2.0,179161,Distribution Center,9974370.0,98.95,0.33,91,4,1.0,0.0,179161.0,89580.5
248,2015,Nonresidential COS,Non-Refrigerated Warehouse,2,GREATER DUWAMISH,47.57125847,-122.331498,1.0,2.0,50000,Non-Refrigerated Warehouse,4116805.0,28.7,0.22,50,4,1.0,0.0,50000.0,25000.0
249,2015,NonResidential,Other,2,GREATER DUWAMISH,47.59134229,-122.3319719,1.0,3.0,1172127,Other - Entertainment/Public Assembly,57514116.0,1236.93,0.91,16,1,1.0,0.0,1172127.0,390709.0
250,2015,NonResidential,Hotel,2,GREATER DUWAMISH,47.59271999,-122.3336896,1.0,9.0,168449,Hotel,13116256.0,402.03,2.22,10,3,0.91352,0.08648,168449.0,18716.556
257,2015,NonResidential,Non-Refrigerated Warehouse,1,GREATER DUWAMISH,47.57463912,-122.3560342,1.0,4.0,79600,Non-Refrigerated Warehouse,1786986.0,12.46,0.06,99,1,1.0,0.0,79600.0,19900.0
260,2015,SPS-District K-12,SPS-District K-12,4,LAKE UNION,47.66006599,-122.3393444,1.0,4.0,241066,No information,7870351.0,263.53,1.03,18,1,1.0,0.0,241066.0,60266.5
261,2015,Campus,Large Office,1,GREATER DUWAMISH,47.52440204,-122.3115544,16.0,2.0,334368,Office,52273792.0,706.26,1.53,35,3,0.90467,0.09533,20898.0,167184.0
263,2015,NonResidential,Other,5,NORTH,47.7024765,-122.32480621,1.0,6.0,419848,Parking,9477865.0,163.99,0.32,7,5,0.20183,0.79817,419848.0,69974.667
264,2015,NonResidential,Mixed Use Property,7,MAGNOLIA / QUEEN ANNE,47.62392426,-122.35764313,1.0,4.0,110785,Multifamily Housing,10608788.0,91.53,0.43,13,5,0.64635,0.35365,110785.0,27696.25
267,2015,NonResidential,Hotel,7,DOWNTOWN,47.61267744,-122.33393177,1.0,1.0,934292,Hotel,63811044.0,1558.85,1.49,16,5,1.0,0.0,934292.0,934292.0
268,2015,NonResidential,Hospital,3,CENTRAL,47.60710663,-122.3107827,1.0,5.0,597519,Hospital (General Medical & Surgical),137635696.0,4725.43,7.51,25,2,1.0,0.0,597519.0,119503.8
273,2015,SPS-District K-12,K-12 School,1,DELRIDGE,47.52560204,-122.3487068,1.0,1.0,71714,K-12 School,2223321.0,30.27,0.31,16,1,1.0,0.0,71714.0,71714.0
274,2015,NonResidential,Non-Refrigerated Warehouse,4,LAKE UNION,47.65094364,-122.3422377,1.0,3.0,75397,Non-Refrigerated Warehouse,516216.0,8.66,0.09,24,2,0.89176,0.10824,75397.0,25132.333
276,2015,NonResidential,Hospital,3,EAST,47.60387131,-122.3226998,1.0,8.0,1158691,Hospital (General Medical & Surgical),295812640.0,10780.64,8.67,15,2,1.0,0.0,1158691.0,144836.375
